Model,feature,importance
Random Forest,load_lag_52,0.7503861571567757
Random Forest,temperature_2m_max,0.039589877434280066
Random Forest,load_lag_1,0.032708042075704116
Random Forest,week_of_year,0.030487171970915238
Random Forest,temp_lag_52,0.022857739155757447
Random Forest,load_roll_mean_52,0.013904422320393661
Random Forest,cos_week,0.009359884224823103
Random Forest,temperature_2m_mean,0.008551220049827134
Random Forest,load_lag_3,0.007789946141880669
Random Forest,load_lag_4,0.007429432599634652
Random Forest,load_roll_std_52,0.006938685627112866
Random Forest,load_roll_mean_4,0.00624129598893943
Random Forest,load_lag_2,0.005290063713428505
Random Forest,load_roll_mean_8,0.00465581486301604
Random Forest,load_lag_26,0.004646372286123973
Random Forest,load_roll_std_4,0.004081299726198426
Random Forest,load_lag_8,0.003642176191983017
Random Forest,temperature_2m_min,0.003613511987091852
Random Forest,load_roll_std_8,0.003334363189693064
Random Forest,temp_lag_8,0.0033304114381119093
Random Forest,load_roll_std_26,0.0033108007428420383
Random Forest,load_lag_12,0.0031526881667238737
Random Forest,temp_roll_mean_4,0.0029545514846449766
Random Forest,temp_lag_1,0.002846245687726671
Random Forest,temp_lag_2,0.002601874095619455
Random Forest,load_roll_std_13,0.002202037887929314
Random Forest,temp_lag_4,0.002023536660764296
Random Forest,year,0.0018361669868418968
Random Forest,temp_roll_mean_26,0.0017560152704287888
Random Forest,temp_roll_mean_8,0.0016848022536540843
Random Forest,month,0.0016825203750114592
Random Forest,load_roll_mean_13,0.0015230227823544932
Random Forest,load_roll_mean_26,0.001366623935033863
Random Forest,temp_roll_mean_13,0.0009362793884081386
Random Forest,sin_week,0.000665486040781684
Random Forest,has_holiday,0.0003866796442135649
Random Forest,holiday_count,0.0001540434411982727
Random Forest,quarter,7.873701413226922e-05
Gradient Boosting,load_lag_52,0.7467368077356862
Gradient Boosting,load_lag_1,0.059729312103241575
Gradient Boosting,temp_lag_52,0.03763910318388462
Gradient Boosting,temperature_2m_max,0.034381427163122404
Gradient Boosting,week_of_year,0.0227222681308864
Gradient Boosting,load_roll_mean_52,0.020839525349038775
Gradient Boosting,load_roll_std_52,0.006854478996438774
Gradient Boosting,load_lag_4,0.005896901723931557
Gradient Boosting,temp_lag_1,0.00519137505073308
Gradient Boosting,temp_lag_4,0.005115193235172901
Gradient Boosting,load_lag_12,0.005018131381707131
Gradient Boosting,temperature_2m_min,0.004920852972327122
Gradient Boosting,temp_lag_8,0.004437715987038965
Gradient Boosting,year,0.0039728073601998926
Gradient Boosting,cos_week,0.003899418017724584
Gradient Boosting,load_lag_26,0.003448916990278608
Gradient Boosting,temperature_2m_mean,0.0032272524512878126
Gradient Boosting,load_roll_mean_4,0.003220175001503534
Gradient Boosting,load_lag_3,0.002720910510470308
Gradient Boosting,load_roll_std_4,0.002509562077267782
Gradient Boosting,temp_roll_mean_13,0.0021373616930382006
Gradient Boosting,temp_roll_mean_8,0.0020836529985067756
Gradient Boosting,load_lag_8,0.0020026546440687952
Gradient Boosting,load_roll_mean_26,0.0019690785350462738
Gradient Boosting,load_roll_std_8,0.0015984457074617207
Gradient Boosting,load_roll_std_13,0.00159476208753348
Gradient Boosting,temp_roll_mean_4,0.0014882714810954506
Gradient Boosting,load_lag_2,0.001383339660073144
Gradient Boosting,temp_roll_mean_26,0.0013346152185557552
Gradient Boosting,temp_lag_2,0.0011936858921226205
Gradient Boosting,load_roll_std_26,0.0003173938982460505
Gradient Boosting,load_roll_mean_8,0.00025465223105548064
Gradient Boosting,load_roll_mean_13,8.650068730883944e-05
Gradient Boosting,sin_week,6.433285731244798e-05
Gradient Boosting,has_holiday,5.933219132013158e-06
Gradient Boosting,holiday_count,2.909175240487062e-06
Gradient Boosting,month,1.5959636308000516e-07
Gradient Boosting,quarter,1.1499589746260296e-07
