p,d,q,P,D,Q,AIC,BIC,runtime_seconds,converged,error
0,0,0,0,1,0,,,,False,"not enough values to unpack (expected 2, got 0)"
0,0,1,0,1,0,2527.929401178604,2533.8410552938067,0.024788379669189453,True,
0,0,2,0,1,0,2506.633341542027,2515.479621213162,0.03021526336669922,True,
0,0,3,0,1,0,2476.82131166495,2488.5878813553873,0.03215765953063965,True,
0,0,4,0,1,0,2461.838119228495,2476.5104888941487,0.0413813591003418,True,
0,0,5,0,1,0,2447.072470816289,2464.635992927232,0.05176091194152832,True,
0,0,6,0,1,0,2430.9625091588377,2451.4023756396346,0.06394433975219727,True,
0,1,0,0,1,0,,,,False,"not enough values to unpack (expected 2, got 0)"
0,1,1,0,1,0,2497.0677702509784,2502.9652900317346,0.02939629554748535,True,
0,1,2,0,1,0,2480.1251629393496,2488.9500902071777,0.031116724014282227,True,
0,1,3,0,1,0,2461.5636097900015,2473.301505522524,0.05054783821105957,True,
0,1,4,0,1,0,2438.7792115610173,2453.4154799868033,0.07723617553710938,True,
0,1,5,0,1,0,2423.874301853408,2441.3941874083766,0.08518600463867188,True,
0,1,6,0,1,0,2409.159133588352,2429.547717788504,0.09909534454345703,True,
0,2,0,0,1,0,,,,False,"not enough values to unpack (expected 2, got 0)"
0,2,1,0,1,0,2544.6170300817894,2550.500314927008,0.2784004211425781,True,
0,2,2,0,1,0,2473.428156740326,2482.231578539718,0.0493929386138916,True,
0,2,3,0,1,0,2456.0985227162814,2467.8075374569103,0.1401844024658203,True,
0,2,4,0,1,0,2439.9120423110185,2454.5119469401593,0.13086938858032227,True,
0,2,5,0,1,0,2418.4964930799783,2435.9724223943945,0.12841129302978516,False,
0,2,6,0,1,0,2403.8729508899523,2424.2098743390216,0.22519946098327637,False,
1,0,0,0,1,0,2538.140063733059,2544.065752993579,0.013408899307250977,True,
1,0,1,0,1,0,2511.712058756468,2520.579539929272,0.026281118392944336,True,
1,0,2,0,1,0,2495.6198546465566,2507.414894208069,0.03627324104309082,True,
1,0,3,0,1,0,2478.4854846058206,2493.193696718867,0.06505966186523438,True,
